Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-707.80115	280.5051	-288.01483	-1909.178	-717.40295	158.27707	-491.94736	-977.24023	21.0582	24.1	3999	-167.38727	97.60767	0.12954122	-648.2773	-167.41031	97.55062	0.026198834	-643.2069	3.918815	4.507605	31.73983	-12.860157	154.03256	1031.1299	804.1164948940277
2	-421.9556	233.43602	13.786528	-1471.5009	-200.33434	15.841133	-178.35887	-224.53767	23.098267	30.2	7999	-227.76492	106.76309	57.235832	-659.26953	-227.76938	106.91707	98.79916	-665.3318	8.177208	4.306291	38.10512	-11.57556	204.37709	792.6449	1606.5540511608124
3	-312.7131	133.15488	-6.738461	-979.1275	-331.73712	125.797745	-100.30715	-566.38965	33.258335	43.2	11999	-185.76431	93.6675	38.69028	-626.0823	-185.76974	93.71149	46.091022	-641.23004	8.017122	4.4445376	41.27935	-15.417427	169.10788	303.77737	2350.4516282081604
4	-126.57801	101.38897	295.12122	-367.44522	-172.78464	13.231379	-155.8789	-190.32855	22.942858	28.3	15999	-181.03638	80.108795	36.14429	-599.27094	-181.03831	80.13425	21.78139	-619.8326	6.9910083	4.155528	35.06518	-11.646329	168.72778	218.22978	3168.3295187950134
5	-236.76797	163.46658	280.65552	-692.55414	99.447235	27.977755	157.46385	68.883156	27.41096	26.4	19999	-162.23851	78.124374	69.16082	-577.93805	-162.23746	78.17483	64.11606	-596.0388	7.0526233	3.9956717	37.29484	-12.841616	151.31053	249.81757	3935.460461139679
6	71.26627	138.68794	548.91156	-145.94363	203.34084	137.64598	412.0454	81.10301	22.038462	23.0	23999	-155.98517	83.86113	23.815617	-598.71295	-155.98364	83.89405	23.064444	-599.8489	7.240424	3.867856	33.067116	-10.733458	145.88486	228.86952	4757.043169975281
7	252.7688	340.19513	1297.1816	-134.04985	-6.1860533	31.015316	56.403965	-39.275013	26.925676	32.3	27999	-128.67249	98.884285	130.5481	-610.501	-128.67513	98.88702	127.21802	-602.4023	7.8077145	4.053313	33.142433	-14.167199	117.669014	275.5139	5537.739879369736
8	606.28424	824.8909	3256.4246	-431.76535	-27.667847	241.02287	471.72058	-333.02893	42.734043	61.0	31999	-64.07641	151.8896	327.20706	-610.8697	-64.08414	151.8228	325.80347	-621.11664	9.064216	4.4579625	36.827484	-11.53365	47.34937	505.25803	6270.438343763351
9	1439.7737	1365.0719	7173.061	-200.4716	2959.1958	1543.8049	5195.8193	1557.1808	59.742424	61.0	35999	83.73282	268.5931	665.62756	-615.10333	83.72295	268.58566	666.8985	-619.13586	10.552341	4.9080715	46.337982	-11.402106	-111.76289	866.5471	6960.119735240936
10	2404.0303	2623.2832	9542.998	-45.87966	2189.276	1676.2997	3558.4443	122.35666	60.89394	61.0	39999	315.9193	416.00433	1073.2928	-589.6603	315.8821	415.99826	1067.1709	-605.2544	11.750564	5.3551016	48.21573	-11.83212	-357.39206	1730.5088	7651.392072200775
