Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-706.19855	439.04736	-92.72491	-1426.2185	-107.10836	3.46505	-103.1635	-116.311676	30.738462	14.0	3999	-119.74149	71.738846	43.693935	-410.0913	-119.753	71.76136	27.908772	-414.62152	2.716203	3.8210292	21.883362	-12.143625	110.494415	367.7816	708.3410863876343
2	-171.95921	225.14948	-52.738018	-1429.7985	-152.14993	4.9068074	-141.99454	-160.91426	14.615385	15.2	7999	-143.1023	108.78414	111.82626	-508.565	-143.12354	108.82267	90.824875	-512.631	6.9657006	4.0025144	32.587704	-12.458069	124.271576	287.41	1657.2251334190369
3	-107.39511	47.20763	-44.47474	-273.1705	-54.57422	1.9526912	-52.568897	-57.781494	14.472924	11.0	11999	-99.51985	87.13832	60.41663	-530.9285	-99.51752	87.144295	63.39577	-529.6759	6.058744	4.072995	34.078087	-11.625805	87.71878	130.89201	2611.5402297973633
4	-55.601826	8.469818	-14.595355	-94.93644	-56.701447	5.1747336	-50.419094	-62.82953	10.191326	10.5	15999	-87.12497	75.082794	40.537785	-542.3516	-87.12434	75.07314	39.45718	-530.9301	5.3092294	4.011714	32.61291	-14.902302	78.441864	72.885345	3741.422409057617
5	-49.520496	6.1156507	-35.85631	-72.369385	-48.50414	2.5114424	-45.662636	-51.97412	10.09068	10.0	19999	-74.09611	67.7831	46.256897	-502.68286	-74.09761	67.7803	45.62167	-494.65988	4.5264697	4.107474	30.99433	-13.75497	67.465065	51.110657	4884.665490627289
6	-45.850018	4.7672324	-11.552583	-66.31931	-44.270313	1.0931808	-41.61595	-45.815063	10.017544	10.0	23999	-66.04114	64.45407	41.875687	-511.41873	-66.041275	64.45683	45.284603	-507.8401	3.7779646	4.1057396	30.759474	-13.415922	60.628624	43.209545	6025.102208137512
7	-44.69896	4.4101963	-26.898209	-63.327213	-43.495064	2.5753405	-39.750267	-45.89441	10.027569	10.0	27999	-60.68176	62.326717	45.073265	-542.4168	-60.682026	62.3267	52.83895	-534.0346	3.245134	4.0499578	29.181149	-15.092287	56.04439	35.111588	7173.062848329544
8	-44.73895	5.4042892	-23.221981	-67.53326	-44.742405	2.3029323	-42.31321	-48.384575	10.022556	10.0	31999	-56.17724	58.323166	50.959354	-537.2859	-56.17684	58.32596	56.421112	-530.4874	2.697707	4.0570407	33.95182	-13.926325	52.1465	29.946587	8329.172112464905
9	-43.20318	4.379591	-24.082066	-60.504093	-41.171104	2.2368135	-39.711494	-46.034977	10.042606	10.0	35999	-52.507225	55.071037	60.73548	-534.69183	-52.507225	55.075264	63.932537	-528.6301	2.2588472	4.080105	30.147308	-15.532225	48.923546	27.345558	9476.262886762619
10	-43.467075	4.948609	-5.0	-66.09044	-42.2651	2.5797598	-39.39346	-45.995285	10.025063	10.0	39999	-49.41179	52.46493	58.64217	-550.9901	-49.412315	52.46696	64.35981	-544.3996	1.9620736	3.9992661	29.089737	-13.507159	46.18993	25.887367	10617.703207015991
