Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-877.9004	333.6512	-327.64896	-1883.4163	-444.7746	10.811926	-428.46545	-468.97266	17.427948	17.0	3999	-230.22232	169.60638	0.13345325	-1277.112	-230.24435	169.5802	0.0030684676	-1277.1971	4.32256	3.865902	30.413654	-11.509567	217.87955	1726.4156	855.1749560832977
2	-621.9858	353.1063	-294.9885	-2707.9844	-389.63245	2.8965948	-385.37964	-394.2524	18.555555	17.0	7999	-368.70792	219.10663	11.116835	-1678.623	-368.70786	219.15497	-2.463201	-1681.7953	6.1960692	3.5148299	29.943203	-10.684849	351.74826	1473.2727	1707.817505121231
3	-522.8383	336.59192	-280.47772	-1667.125	-413.19556	83.71957	-322.7194	-592.5538	17.189655	17.0	11999	-346.56543	195.25964	34.207462	-1669.5789	-346.55832	195.34103	11.105857	-1650.4509	5.9603777	3.5442681	35.34205	-11.958705	335.7603	697.2909	2587.762021780014
4	-434.59253	154.65884	-280.873	-1480.9602	-395.1307	82.224434	-308.09802	-531.8015	17.284483	17.0	15999	-325.42984	195.47214	41.56688	-1566.7151	-325.4284	195.5124	50.46648	-1588.7589	5.779437	3.6412985	33.90383	-11.702455	316.7971	424.31793	3468.922367811203
5	-333.21988	43.14257	-255.513	-694.90393	-323.65436	2.7417014	-320.60205	-327.82538	17.064102	17.0	19999	-304.96057	180.65944	79.06845	-1617.4816	-304.96118	180.6836	74.77839	-1648.5767	5.677559	3.688655	33.96328	-11.431705	297.3809	321.3363	4353.9545567035675
6	-315.0583	119.54542	-238.08463	-1630.6434	-282.02148	4.8518443	-275.37958	-288.27905	17.132479	17.0	23999	-287.49677	167.96846	92.798744	-1578.4109	-287.49695	167.9944	93.17244	-1588.9172	5.39495	3.6486738	37.80907	-15.591381	281.02695	242.34158	5238.646372556686
7	-290.33313	21.58135	-245.45229	-446.78973	-282.90225	2.5892813	-278.85992	-286.45547	17.034187	17.0	27999	-275.52512	159.27406	67.38032	-1564.4067	-275.5234	159.2959	62.08524	-1582.2771	5.0161166	3.7014894	37.93018	-13.572838	269.84875	201.21805	6126.375059843063
8	-273.9789	17.545008	-242.48514	-356.1773	-262.30423	1.5605383	-258.89313	-264.89093	17.038298	17.0	31999	-263.4062	150.55367	36.35766	-1583.8236	-263.40573	150.56964	51.99855	-1588.8662	4.762057	3.6427245	39.01476	-12.088311	258.31113	172.18982	7014.444407701492
9	-266.37558	19.423412	-220.77661	-483.9545	-262.51758	4.8368444	-248.79953	-266.70087	17.068085	17.0	35999	-253.2804	141.83012	64.3043	-1575.7484	-253.2798	141.8439	55.375866	-1568.6517	4.8256683	3.585754	39.54769	-11.688322	248.45639	154.3954	7902.32944560051
10	-262.16888	44.67812	-201.70795	-666.4434	-241.57248	0.7383351	-240.22409	-242.34293	17.098713	17.0	39999	-247.00587	136.32286	97.12657	-1585.4131	-247.00565	136.33841	112.47705	-1586.3937	4.712184	3.4691489	33.238224	-12.29047	242.63335	140.44669	8786.799877882004
11	-251.92883	13.878834	-204.64943	-316.08963	-249.42114	8.533517	-238.08759	-258.3029	17.098291	17.0	43999	-239.93044	132.24767	130.91765	-1614.6604	-239.92976	132.25621	122.423515	-1600.8566	4.684442	3.4469326	35.254684	-12.077709	235.62605	128.38182	9674.27011179924
