Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEp_dist_Ret	StdEp_dist_Ret	AverageEp_vel_Ret	StdEp_vel_Ret	AverageEp_ori_Ret	StdEp_ori_Ret	AverageEp_torq_Ret	StdEp_torq_Ret	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-446.19476	315.47888	240.50366	-1469.8602	-119.51786	0.7061314	-118.25231	-120.33184	-291.4001	187.09363	-20.69395	15.2651005	-4.7707386	3.709159	-16.924822	15.135713	59.939392	6.0	3999	45334.258	12006.78	103501.26	81.2781	45330.332	12006.447	101390.98	3362.2725	60.17574	22.995916	201.36917	7.669822	-49025.863	46460508.0	782.5685217380524
2	-663.32275	466.0835	460.26974	-2166.5513	-120.08142	0.5003192	-119.41272	-120.884	-418.6766	272.8634	-28.350443	19.480106	-6.4996514	4.5884438	-24.822083	19.4633	81.895836	6.0	7999	149923.33	72753.51	486986.53	23553.525	149944.31	72744.71	478143.75	24892.295	122.78892	50.313114	463.81805	18.200718	-166512.03	625072260.0	1534.192040681839
3	-239.1242	246.6915	647.0093	-2529.836	-182.84044	7.9115844	-175.98354	-192.89745	-114.74444	163.02324	-7.1412287	10.745092	-1.5419596	2.681356	-6.3725204	9.9569645	20.727272	11.4	11999	563630.2	190865.56	1284492.2	125113.01	563655.4	190860.97	1301161.4	119677.414	224.94312	83.42029	702.9544	38.243855	-608815.9	13049263000.0	2737.8110773563385
4	-262.1131	345.91772	224.4765	-4064.0183	-152.589	0.89313716	-151.01604	-153.37784	-142.48405	286.5848	-9.850847	27.07303	-2.1096923	6.2653527	-6.5815444	12.925909	29.02174	9.0	15999	821677.2	155303.67	1619526.2	276903.9	821759.25	155147.19	1635484.5	305245.3	277.26233	116.04376	878.0674	40.227623	-864531.8	31900725000.0	3759.357417345047
5	-206.73866	148.20004	126.90536	-1313.5327	-144.98593	106.75766	26.10068	-288.7366	-111.046844	110.95354	-8.013097	9.936452	-1.7288283	2.4037719	-6.06684	6.0069375	23.269007	30.8	19999	921435.5	153767.67	1659927.0	106789.266	921530.06	153640.77	1604412.4	132669.77	290.58395	120.41735	930.1181	32.10432	-963560.56	41762250000.0	4883.493365287781
6	-342.86145	467.57315	1317.6731	-2427.0193	-655.527	272.93228	-280.3921	-1065.2892	-303.3247	403.9111	-26.05189	50.953064	-6.207577	13.288955	-14.094576	25.937572	75.320755	74.2	23999	949158.6	174147.5	1648436.0	82451.195	949207.44	174257.23	1667660.8	97481.414	248.03728	117.89978	888.38446	19.668358	-990812.06	40524595000.0	5665.588049888611
7	-404.33966	557.7139	-150.75275	-3101.7524	-1016.21564	1125.7863	-228.30153	-3227.2031	-287.81494	627.7322	-23.618149	66.56798	-4.9507875	13.047305	-19.955772	62.37927	68.08	240.4	27999	991974.75	172091.12	1602677.5	26550.805	991990.8	172148.6	1622070.1	64535.57	193.38219	95.04946	744.5785	18.262962	-1029850.9	38957780000.0	6558.550349712372
8	-580.4996	928.351	-152.81665	-4590.733	-4615.4883	16.973324	-4591.8022	-4636.5405	-431.68646	842.6162	-31.854507	75.630806	-7.4604497	18.013742	-22.05134	52.380028	92.12766	1000.0	31999	1015660.3	167894.81	1729655.2	29216.932	1015659.75	167854.27	1728552.1	56704.605	148.81157	75.341644	614.6254	19.05262	-1050894.0	35137475000.0	7915.265236377716
9	-1310.802	1480.5995	-246.96562	-4537.146	-551.69745	197.76384	-406.4055	-931.0797	-1057.6218	1293.2373	-83.12975	120.28279	-20.587223	30.812986	-66.130104	96.4419	239.93333	85.2	35999	1014095.9	170165.27	1834829.6	6399.393	1014062.06	170156.14	1859371.5	34566.86	119.22725	59.41828	510.03403	15.781085	-1048014.5	32397849000.0	8630.61419582367
10	-1004.3602	840.59924	90.005585	-3851.5137	-2591.5496	1658.8967	217.61183	-4795.0977	-929.4883	720.7895	-53.357388	51.135487	-13.51486	13.960009	-44.455017	45.11858	153.76666	647.8	39999	1020608.8	180585.12	1858292.6	-149267.66	1020604.56	180439.1	1911871.5	-91219.77	106.31633	47.64418	378.10095	13.423483	-1053356.8	30386444000.0	9746.76427102089
11	-2164.071	2956.4114	464.15366	-7338.5186	-7876.4478	3.473594	-7873.299	-7883.126	-2422.1714	2314.6794	-157.41438	147.03032	-43.12724	41.562756	-113.2025	107.175804	454.0	1000.0	43999	1054728.4	187868.33	1915835.9	-164308.72	1054718.4	188014.94	1956781.4	-104371.58	100.53674	40.49456	318.969	8.41238	-1088569.5	29083724000.0	10999.373701810837
12	-6037.9136	968.8741	-4801.5757	-7415.6016	-6810.862	66.49275	-6704.464	-6891.216	-5673.868	815.8222	-347.05365	0.33201975	-94.647766	4.633494	-217.34433	11.0893755	1000.0	1000.0	47999	1133832.2	190334.33	1866222.4	-169204.17	1133811.5	190471.55	1939610.5	-95301.625	102.31072	38.171364	302.89905	15.083738	-1167999.1	28919456000.0	12251.668996095657
