Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-4072.6636	1228.577	-3193.1028	-10852.605	-23013.19	659.2793	-21347.568	-23404.418	66.0	66.0	3999	-214.90619	104.63169	0.15643641	-1196.8632	-214.8665	104.893616	3.2336884	-1228.4884	8.224545	4.3735375	39.30756	-11.692602	175.1815	2671.276	860.860107421875
2	-4013.9734	1024.1743	-3047.5151	-11169.764	-3279.0254	12.752742	-3254.7844	-3308.9756	66.0	66.0	7999	-284.8113	115.556465	-0.024857085	-1518.0004	-284.81052	115.78975	6.45014	-1540.0159	11.224915	3.8149083	39.087105	-9.44326	228.44257	2586.2659	1731.6805777549744
3	-4109.857	1690.4523	-2511.6875	-10256.497	-3211.8105	12.917779	-3189.9753	-3228.5283	66.0	66.0	11999	-350.39594	115.10229	14.901862	-1329.1296	-350.40448	115.10932	43.413784	-1359.5607	11.117449	4.036185	39.251335	-11.850735	298.2367	4073.3154	2599.90190243721
4	-5717.7695	5555.7476	-1995.2994	-20807.38	-2438.4387	6.070816	-2427.3535	-2447.1335	66.0	66.0	15999	-510.97656	220.98659	-50.117554	-2554.9417	-510.9602	220.98717	-25.599833	-2521.7676	11.119021	4.847722	47.174313	-7.1517553	464.0507	10795.85	3474.8177070617676
5	-4452.734	4266.3374	-1756.8297	-20243.38	-17370.682	737.2356	-16620.479	-18283.771	66.0	66.0	19999	-583.2399	233.83719	171.67104	-2564.4912	-583.2158	234.37595	175.91634	-2523.2097	11.787486	5.2378173	52.522396	-9.3313675	532.7786	11641.155	4348.78684425354
6	-5067.1772	5807.341	-2040.8717	-25287.545	-3105.297	673.0207	-2568.2642	-4593.169	66.0	66.0	23999	-602.9272	221.25912	135.41397	-2270.8264	-602.9296	221.8636	211.57156	-2287.7583	12.009996	4.81018	47.49218	-7.785573	549.7255	12871.428	5219.1974194049835
7	-3913.6106	3742.818	-2136.5723	-21436.352	-2605.7402	15.318476	-2574.9255	-2620.2856	66.0	66.0	27999	-622.4173	273.77484	169.13702	-3132.5032	-622.42096	274.27533	179.53377	-3105.8655	11.915543	4.409027	41.957886	-12.128307	568.5835	14588.429	6094.686956644058
8	-7666.311	5054.525	-2420.849	-19145.623	-2576.4973	8.042911	-2565.0862	-2589.703	66.0	66.0	31999	-685.2851	318.01062	240.33229	-3663.1562	-685.34766	317.9211	246.5179	-3629.905	11.83646	4.3914313	46.663456	-10.114603	631.5459	20234.58	6962.522721290588
9	-3230.0403	2075.1636	-2032.5381	-14192.071	-2271.0308	21.216682	-2249.941	-2331.2642	66.0	66.0	35999	-671.2734	312.3746	202.48523	-3268.9507	-671.2791	312.41162	168.41649	-3279.2913	12.18049	4.4795494	51.87669	-5.752114	612.18115	19549.584	7834.524928808212
10	-3334.7517	2529.3896	-1996.5906	-16687.504	-2809.2559	22.440708	-2774.0488	-2845.8696	66.0	66.0	39999	-647.06067	263.7745	155.29124	-2687.1787	-647.07715	264.03915	166.10931	-2669.8943	12.144258	4.4062233	55.647865	-5.9807525	590.64923	17403.637	8707.904510498047
