Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEp_dist_Ret	StdEp_dist_Ret	MaxEp_dist_Ret	MinEp_dist_Ret	AverageEp_vel_Ret	StdEp_vel_Ret	MaxEp_vel_Ret	MinEp_vel_Ret	AverageEp_ori_Ret	StdEp_ori_Ret	MaxEp_ori_Ret	MinEp_ori_Ret	AverageEp_torq_Ret	StdEp_torq_Ret	MaxEp_torq_Ret	MinEp_torq_Ret	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-2181.8733	1277.247	-563.77124	-4947.9175	-195.89624	1.044091	-194.2751	-197.07788	-1369.5359	775.04663	-302.98923	-2725.0798	-94.77181	52.723854	-16.260334	-188.04073	-22.586092	12.897999	-3.7294054	-48.900627	-97.60857	56.872425	-10.792271	-194.90494	273.07693	11.0	3999	135.90791	314.8494	2455.0598	-125.174	135.8266	314.8685	2400.642	-123.77193	13.1783695	11.07944	59.82163	-12.792575	-199.98267	2783.979	625.0683765411377
2	-2040.6348	1660.7405	249.33112	-6410.5273	-198.74586	0.87883127	-197.28146	-199.8355	-1244.0493	817.1719	-224.18024	-3580.672	-96.277176	54.28553	-15.584184	-193.8828	-23.392235	13.108959	-2.848896	-44.35132	-95.2124	62.490585	-14.232606	-241.6212	277.4375	11.0	7999	3058.0435	2117.983	12880.3	-135.49448	3058.0317	2118.1602	12938.97	-129.31963	33.604794	9.953762	112.53916	-5.280467	-3455.1404	114148.734	1280.7192418575287
3	-300.0018	498.55133	2569.668	-3793.0596	-323.18445	21.438993	-310.9446	-366.01904	-128.76083	261.24362	-29.905018	-2185.0227	-8.442572	18.422224	-3.4227269	-135.04688	-1.779659	4.561538	-0.0009877733	-32.75994	-7.0632854	17.91568	-1.8478874	-140.2301	24.432926	21.4	11999	13845.083	4518.2563	29272.684	2115.9272	13845.019	4518.2515	29275.008	2170.1487	59.912273	21.521814	238.6402	-0.66101646	-14773.267	3289340.2	2416.112958431244
4	-336.94382	184.57681	573.02313	-916.79095	-420.49823	73.45061	-342.47324	-558.7563	-183.85272	98.88637	-63.408707	-674.21136	-12.036164	8.425835	-3.8488016	-69.83856	-2.7255595	1.9561175	-0.76658916	-15.835363	-10.010779	7.7019305	-1.7123828	-60.732937	34.884956	34.2	15999	20757.37	4316.1904	37845.133	6963.9404	20757.12	4321.4116	37685.06	6924.138	61.64901	25.64274	241.75085	1.263589	-21561.096	10537544.0	3381.8522799015045
5	-424.43924	220.3593	158.90813	-1404.6372	-269.10684	60.21193	-159.12994	-336.6061	-213.63228	108.31613	-70.267204	-642.2164	-12.195278	5.922567	-4.513112	-36.069557	-2.848499	1.4814248	-0.8194705	-8.592962	-9.167023	4.615185	-3.4123712	-37.97624	35.29565	36.8	19999	23200.86	5302.8555	50155.953	5483.839	23201.814	5307.999	49753.402	5560.3335	54.58025	24.51181	229.50972	0.955966	-24028.549	16060132.0	6729.7178411483765
6	-503.3266	589.15546	1001.41473	-4052.7847	-8209.474	18.691391	-8191.2324	-8244.533	-338.32953	497.50623	-64.36677	-3574.1965	-20.883804	27.981255	-4.163809	-188.55095	-5.158762	7.5753703	-0.7803106	-51.228382	-14.601773	18.701797	-2.4708788	-118.8089	60.46875	1000.0	23999	25346.877	5886.4536	50532.277	5782.5327	25347.658	5892.0264	50997.56	5944.0444	44.628304	19.209372	196.1698	-0.939705	-26250.633	20580082.0	8149.469195604324
7	-978.6242	761.00757	166.3358	-3576.8315	-298.44147	9.327359	-282.5688	-311.80432	-715.7126	569.3169	-120.24987	-2925.3606	-55.36224	38.2993	-7.0280805	-140.73386	-13.396571	10.016817	-1.5089561	-38.57252	-40.152836	28.431892	-6.8775883	-132.16467	159.52	19.0	27999	28861.105	5879.6816	53680.914	5481.932	28860.748	5883.795	53075.832	6271.5825	38.567055	16.405245	187.92732	-1.441596	-29872.17	22932284.0	8844.862006902695
8	-330.48788	444.86603	583.69745	-1942.1545	-530.4256	223.27808	-345.67953	-863.9214	-304.10776	383.56445	-83.95574	-1902.5203	-20.83888	26.334715	-5.1187196	-146.05714	-4.7560577	6.319511	-0.83512497	-33.170692	-17.665346	18.382877	-4.7347555	-95.42473	59.880596	108.6	31999	31550.605	5196.7856	51108.766	6847.367	31549.84	5194.3228	50382.727	8386.781	35.380886	14.755435	137.75319	-4.499176	-32625.658	28486248.0	9728.949018478394
9	-534.2876	604.1996	-12.642109	-3948.5737	-91.931656	450.07193	716.50616	-593.1553	-474.5332	560.4786	-96.43611	-3495.9817	-38.25217	38.80607	-5.659641	-186.1901	-8.6716795	8.714435	-1.3447472	-41.272167	-26.61425	25.908209	-5.4013414	-145.12975	110.54054	69.2	35999	32960.137	5036.2427	57251.758	7309.4575	32959.973	5025.98	57903.887	6296.262	32.73322	13.837162	138.18993	0.060699344	-34025.65	29149770.0	10495.572630882263
10	-487.8517	307.45245	252.514	-1549.4956	-400.08087	128.70232	-197.99521	-599.91046	-284.53363	225.04987	-95.65908	-1421.9489	-19.493645	16.99973	-5.6821647	-99.17028	-4.6584044	4.2027254	-1.2378722	-22.552454	-16.662954	13.580096	-5.3189535	-83.56775	56.30986	67.8	39999	32836.957	5381.7344	61374.16	5428.9053	32837.113	5375.4106	64148.617	6942.07	31.019855	12.537316	132.39192	-0.36064386	-33819.34	29366730.0	11352.20473575592
