Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEp_dist_Ret	StdEp_dist_Ret	AverageEp_vel_Ret	StdEp_vel_Ret	AverageEp_ori_Ret	StdEp_ori_Ret	AverageEp_torq_Ret	StdEp_torq_Ret	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-4757.955	2043.6055	-1658.023	-8904.774	-968.59326	22.327494	-935.4953	-997.2273	-1563.0618	775.5451	-66.24531	31.589293	-886.9062	424.56027	-51.742153	27.154408	109.44444	38.0	3999	-155.29297	69.5343	45.86178	-451.15543	-155.31958	69.4988	56.83606	-454.94315	7.4298773	3.7523217	23.805555	-11.377191	124.16629	1188.1593	767.4827663898468
2	-5423.478	4680.895	-668.27484	-23350.855	-1150.3896	15.226822	-1120.1108	-1159.945	-1898.2087	1810.167	-77.644875	47.05654	-1018.0781	884.4042	-57.046173	60.809402	123.8125	47.8	7999	-170.38742	101.87381	280.6788	-524.24225	-170.37643	101.92422	292.6718	-525.30536	10.32536	3.3576622	26.045826	-7.8080077	123.41977	868.749	1530.3541724681854
3	-2523.9219	2296.3699	-127.90626	-10207.714	-268.8822	28.477318	-220.2315	-294.4961	-873.8191	795.78894	-35.652306	35.568214	-607.81506	443.5193	-31.362656	25.453587	74.218185	30.4	11999	-88.60246	109.35841	320.44376	-536.02747	-88.61007	109.41112	322.802	-539.4392	10.523932	3.6071916	30.194437	-9.869856	44.27313	1605.1765	2361.6611642837524
4	-1523.7131	605.4217	-108.41307	-4012.9875	-1560.7261	29.296074	-1528.0911	-1608.7211	-644.0621	359.83157	-25.836432	17.372849	-468.32303	213.68997	-16.400772	7.801991	59.909092	58.2	15999	-98.17454	82.94612	197.11717	-519.1941	-98.21232	82.96305	220.86421	-523.4975	9.172667	3.7694035	30.77145	-14.731842	67.11588	1958.5573	3271.600823402405
5	-2010.656	856.0965	-787.9387	-5065.8037	-1452.5303	46.857533	-1400.0183	-1523.7485	-957.8618	519.9336	-28.033285	14.011447	-558.00854	319.66733	-23.048595	12.812067	75.111115	58.2	19999	-223.40482	83.21262	74.293945	-522.4268	-223.40628	83.21	122.29125	-529.4177	9.082075	3.9758604	35.664383	-9.673971	199.55122	1110.6503	4139.560508966446
6	-969.2064	717.8638	8.548155	-2797.618	-1237.6051	177.56816	-899.9218	-1407.174	-371.77805	259.335	-16.471054	8.304974	-365.7728	243.55995	-15.654975	10.321693	46.564705	53.4	23999	-332.61023	98.16116	101.06608	-780.5513	-332.5991	98.13586	134.68161	-785.00134	9.482475	4.17954	40.194237	-13.640507	310.9165	1037.4172	5125.654489278793
7	-736.1097	701.8274	-75.119156	-2697.8623	-159.79843	7.914297	-147.4545	-170.64609	-319.3415	207.22743	-14.331374	5.5593	-310.95706	199.56422	-15.079757	9.968995	40.44	21.6	27999	-378.5677	119.672485	30.418783	-877.44495	-378.5648	119.63111	23.835264	-852.8164	9.709971	3.9703727	35.14127	-9.1640835	356.82114	1432.5988	6156.894330263138
8	-450.0673	570.21606	130.8656	-2603.9175	-31.738636	5.5532017	-21.393314	-37.300957	-203.57114	136.60999	-13.337925	5.471009	-190.78464	153.39511	-10.005169	7.562579	26.296053	14.0	31999	-347.81796	156.22127	198.14854	-881.8302	-347.81903	156.22575	185.9623	-886.71014	10.1837435	3.8866003	35.035408	-9.646795	323.88907	1574.9731	7432.869667053223
9	-504.69583	564.91907	-8.587642	-2822.839	-55.3466	10.655371	-40.035667	-70.80003	-218.74994	152.53235	-11.213572	2.4629056	-218.8281	169.11258	-11.10422	7.168632	31.912	15.8	35999	-267.2669	176.14769	197.82898	-876.5427	-267.28247	176.12158	185.851	-890.4861	10.710073	4.0094986	41.77205	-8.828447	242.07106	1736.6412	8575.162723064423
10	-180.62282	472.30176	11.409518	-3415.2688	-25.668789	15.758399	-2.3959312	-42.872383	-159.94713	120.24258	-13.259343	3.7113574	-138.95609	187.18102	-7.4293394	9.086698	20.329897	13.4	39999	-232.56062	176.8035	176.95319	-871.9226	-232.56398	176.79187	172.98955	-869.76	10.487017	4.0011272	73.89036	-8.546173	210.0074	1713.9377	10049.257368326187
11	-193.58478	529.6215	20.007196	-5445.3564	-14.667625	6.489468	-3.7731118	-21.9346	-163.57338	177.34375	-12.608569	5.0749846	-141.82674	203.50589	-7.0046587	9.121062	20.004927	13.4	43999	-199.48358	173.74373	209.79793	-849.973	-199.48953	173.73035	197.77002	-851.02484	10.744251	4.0492396	47.414356	-10.722208	176.7498	1674.9104	11545.600162029266
12	-20.795036	56.90257	31.626163	-813.3826	-17.031319	7.958606	-4.7566466	-25.111135	-119.054794	12.161066	-13.181288	2.0027397	-81.935196	22.862072	-4.596735	1.4663764	13.523648	13.4	47999	-144.15125	175.6012	207.30481	-746.2604	-144.1485	175.59494	206.29053	-748.0831	10.588711	3.780122	50.745632	-7.612699	122.20305	1631.9528	13418.809539794922
13	-35.725677	53.45837	19.162813	-457.28906	-17.653446	5.910488	-7.1199145	-24.40163	-119.54776	13.854058	-11.108429	2.7723584	-98.54766	33.466167	-5.4571757	2.2591462	15.235742	13.8	51999	-96.1109	178.40192	214.31796	-751.437	-96.10372	178.41037	210.57028	-744.756	10.343017	3.8074248	45.680763	-9.869112	75.51789	1694.8037	15136.857772111893
14	-31.81816	66.21154	149.38156	-909.61847	-1.1592424	11.727494	12.640265	-16.134958	-119.24512	12.899421	-11.479372	2.2413638	-94.1556	30.332779	-4.771995	1.5871068	14.418773	12.4	55999	-70.78248	168.9488	219.01234	-761.01337	-70.774994	168.94203	210.17606	-761.8073	10.010396	3.768149	41.01067	-12.260647	52.45426	1649.809	16943.761221408844
15	-10.432573	23.558407	36.51807	-348.71298	-9.636852	3.3920918	-5.7469263	-14.185618	-115.21525	8.122782	-13.497602	2.273984	-77.03223	15.989782	-4.42942	1.080366	12.916129	13.0	59999	-54.45098	165.30482	223.63065	-728.22174	-54.45037	165.30345	223.12209	-725.3941	9.923859	3.6647184	44.357018	-8.742876	37.08499	1623.5723	18886.127811908722
