Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-252.1852	140.16644	-37.33014	-493.5875	-164.28528	76.60435	-74.124664	-299.41965	101.48718	411.6	3999	-7.297576	17.517551	27.633076	-169.77478	-7.2976327	17.505474	27.612146	-173.19815	0.88593376	1.5540967	13.624463	-10.803744	5.430786	54.738953	56.61651349067688
2	-211.61784	113.697	-28.814692	-427.6004	41.994946	151.9226	244.5868	-201.03647	113.60714	470.8	7999	-9.031233	36.57766	60.73239	-189.78758	-9.030424	36.58729	59.235703	-188.66705	1.4669298	1.6187199	16.465443	-12.484014	6.65066	32.22298	131.75786519050598
3	-179.84743	152.05603	179.58607	-461.5446	-128.47916	133.693	221.63121	-223.26498	194.04347	500.4	11999	-5.7737837	46.043587	72.02419	-226.6374	-5.7739644	46.04563	72.49355	-226.08578	1.6150436	1.7756388	9.773879	-11.161951	3.2112868	27.798317	210.90743136405945
4	28.587086	129.18481	259.97443	-115.98627	135.02243	114.64806	244.85616	-64.09642	458.0	516.9	15999	0.7060864	45.438347	75.00147	-256.86072	0.7055548	45.441135	76.34133	-263.7715	1.3906643	1.7883729	9.747505	-12.277284	-2.60941	25.531012	296.69354128837585
5	22.559645	122.4167	232.33647	-85.24123	-16.876726	127.57262	199.87674	-235.20197	665.7143	577.7	19999	0.57621396	42.4005	77.55423	-284.64157	0.5721664	42.398083	77.792854	-285.91507	1.0288051	1.782949	10.320236	-11.391275	-1.9751228	21.098484	383.27649688720703
6	41.16083	164.99449	217.15565	-138.16872	-125.33124	42.00404	-46.102974	-204.3441	454.5	597.6	23999	3.987046	38.963943	81.107086	-291.7419	3.9858413	38.956215	81.02767	-292.57767	0.98782235	1.7883028	16.29271	-11.182266	-5.16032	21.289333	470.8223705291748
7	-17.35132	139.98187	181.76389	-195.13992	-54.88258	72.669655	96.51001	-218.83505	635.6667	861.8	27999	7.328928	35.820675	81.35754	-292.86734	7.3296866	35.812473	81.70583	-299.92966	0.8344817	1.8072548	13.861802	-11.634179	-8.317982	20.225554	565.2746965885162
8	101.382996	124.934525	225.46472	-93.84894	128.28	71.004875	186.78659	-16.850735	753.0	708.2	31999	9.474959	34.14391	81.37743	-294.36646	9.477105	34.13466	80.99826	-298.82904	0.7300958	1.7907504	13.649263	-10.61071	-10.333308	19.702953	655.5653386116028
9	60.608532	105.09394	163.43503	-92.65536	18.584936	140.8082	208.08711	-233.42284	772.2	783.9	35999	11.292	32.072235	81.2729	-294.0116	11.293117	32.066032	81.415504	-303.31155	0.6878884	1.8261735	11.858288	-10.201153	-12.096238	18.495892	751.1837215423584
10	146.84149	82.80888	204.13446	-14.840077	-50.78147	43.09976	-9.921894	-170.58298	684.2	993.5	39999	13.034891	30.316572	92.866005	-266.76398	13.03644	30.310081	93.25787	-274.38818	0.6340508	1.8137218	13.711715	-10.330444	-13.769923	18.182573	857.9608194828033
11	18.742859	68.8485	124.94132	-62.77622	129.33894	93.482285	227.92513	-76.90541	961.0	663.5	43999	14.376833	29.07085	98.39417	-273.42093	14.377634	29.064919	98.873726	-276.81638	0.50617653	1.7515928	15.568332	-10.440405	-15.022779	17.051645	945.1754372119904
12	64.014915	110.78761	232.41312	-31.77909	-47.156166	90.239975	190.98167	-177.94318	828.1667	831.7	47999	14.989259	28.461733	102.58253	-294.3572	14.988562	28.454283	101.80899	-299.72504	0.49615735	1.75105	14.642925	-10.283097	-15.595315	16.807262	1033.3329637050629
13	165.5017	93.618416	284.26065	-2.1859517	63.54479	148.14154	266.74875	-92.18248	421.8889	580.3	51999	15.86985	28.596762	110.745544	-328.74722	15.87068	28.589443	111.05908	-337.6867	0.47315207	1.760234	12.105798	-10.282735	-16.430178	16.322063	1113.3840305805206
14	172.61125	129.68115	289.3693	-93.317726	186.46115	71.958694	267.1977	4.2791376	297.16666	572.3	55999	17.960361	28.769665	116.16333	-317.7315	17.96008	28.764652	115.994545	-318.28195	0.47239938	1.72934	16.112911	-10.301655	-18.458754	17.572165	1190.9908773899078
15	150.78473	106.8161	275.88492	-5.0252495	121.85005	141.83794	258.85394	-144.11172	505.0	595.3	59999	19.019974	28.658567	118.00268	-273.1388	19.020088	28.655033	119.30346	-278.45856	0.45591065	1.6974794	14.402213	-10.405691	-19.504362	17.445307	1269.4393274784088
16	163.39696	145.41429	265.7426	-251.72955	160.24536	116.12309	261.44016	-37.487904	302.3846	465.7	63999	20.049871	29.011658	118.10175	-259.64975	20.04996	29.010906	120.853485	-268.71716	0.39414087	1.6704618	14.225378	-11.016342	-20.513454	19.39273	1346.1859650611877
17	137.82875	125.34913	279.9115	-49.562172	119.0865	167.53925	283.9216	-286.46506	325.83334	507.1	67999	21.548044	29.250797	121.04183	-304.61963	21.548395	29.248087	124.71623	-309.6044	0.36603817	1.6387285	20.006464	-10.483205	-21.965015	21.302116	1426.7328197956085
18	221.94164	93.9114	291.30334	-57.343296	69.182205	233.54866	289.09427	-269.26105	259.875	287.8	71999	22.856606	29.709368	118.94101	-247.16962	22.856152	29.707617	126.629326	-257.68463	0.34972903	1.6142377	15.792717	-11.340442	-23.243883	21.749907	1498.0645022392273
19	200.07666	99.6548	295.83994	-4.3964887	226.85269	95.59241	295.7858	-48.662964	241.11765	356.5	75999	24.536678	30.573484	119.25799	-237.86182	24.53677	30.571997	126.07905	-246.00572	0.3668755	1.6196241	17.556797	-9.477747	-24.89931	22.911415	1574.530948638916
20	140.93727	172.05205	283.82114	-192.50975	188.70868	160.53313	281.08167	-245.61661	265.8	401.6	79999	25.818613	30.718945	124.14864	-238.10808	25.8184	30.720566	125.58968	-243.37993	0.3641386	1.6006817	19.919683	-9.703527	-26.15863	22.707165	1655.0392291545868
21	258.22488	15.374133	275.9468	230.01364	145.05728	109.60952	258.01868	-3.1065824	318.41666	431.5	83999	27.112375	31.23093	120.88739	-255.48593	27.111277	31.230934	124.02956	-253.75916	0.38732785	1.6019143	21.922985	-12.070875	-27.438465	23.554619	1736.0513589382172
22	202.70558	90.81051	275.94278	19.365545	226.40593	45.664906	280.15247	160.39763	348.5	404.9	87999	28.194223	31.895447	125.00216	-242.52832	28.194248	31.894108	122.913666	-248.6912	0.3863719	1.6124783	21.686382	-10.653996	-28.505344	22.83776	1819.1904475688934
23	172.3419	194.61165	284.98193	-398.8529	226.78891	50.960564	286.9158	122.222595	416.0	412.9	91999	28.959955	32.817554	127.65512	-283.06168	28.95952	32.818516	125.10843	-288.43533	0.36974844	1.6092361	18.78738	-10.560408	-29.282366	23.150156	1901.9388434886932
